"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"16027","Gaku ? Ou: The Royal Seven Stars","PSP","2012","Role-Playing","Alchemist",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16028","Quantum Break","PC","2016","Action","Microsoft Game Studios",0,0.01,0,0,0.02,66,14,42,539,"Remedy Entertainment","M"
"16033","Storm Lover Kai!!","PSP","2012","Action","D3Publisher",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16034","Minna to Issho","PSV","2011","Misc","Sony Computer Entertainment",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16035","Nurarihyon no Mago: Hyakki Ryouran Taisen","PS3","2011","Fighting","Konami Digital Entertainment",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16037","Enkaku Sousa: Sana e no 23 Hiai","PSP","2009","Adventure","Sony Computer Entertainment",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16038","Pac-Man Championship Edition 2 + Arcade Game Series","XOne","2016","Action","Namco Bandai Games",0.01,0,0,0,0.02,NA,NA,1,NA,"",""
"16039","Command & Conquer 4: Tiberian Twilight","PC","2010","Strategy","Electronic Arts",0,0.01,0,0,0.02,NA,NA,1,NA,"",""
"16042","Grisaia no Meikyuu: Le Labyrinthe de la Grisaia","PSV","2014","Adventure","Prototype",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16046","Tiger & Bunny: Hero's Day","PSP","2013","Action","D3Publisher",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16047","Turbo: Super Stunt Squad","Wii","2013","Sports","D3Publisher",0,0.01,0,0,0.02,NA,NA,97,NA,"Torus Games","E"
"16048","Turbo: Super Stunt Squad","3DS","2013","Sports","D3Publisher",0,0.01,0,0,0.02,NA,NA,51,5,"Torus Games","E"
"16050","Accel World: Kasoku no Chouten","PS3","2013","Adventure","Namco Bandai Games",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16051","Poupee Girl DS","DS","2009","Misc","Alvion",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16054","Narcissus: Moshimo Ashita ga Runara","PSP","2010","Adventure","Kadokawa Shoten",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16055","Girl Friend Beta: Kimi to Sugosu Natsuyasumi","PSV","2015","Action","Namco Bandai Games",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16057","Sharin no Kuni, Himawari no Shoujo","X360","2010","Adventure","5pb",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16060","So-Ra-No-Wo-To: Otome no Gojuusou","PSP","2010","Adventure","Compile Heart",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16064","I Love Horses: Rider's Paradise","Wii","2010","Simulation","Destineer",0.01,0,0,0,0.02,NA,NA,97,NA,"Destineer","E"
"16065","DuckTales: Remastered","PC","2013","Action","Capcom",0,0.01,0,0,0.02,66,6,75,152,"WayForward","E"
"16067","Germany's Next Topmodel 2011","DS","2011","Simulation","7G//AMES",0,0.01,0,0,0.02,NA,NA,1,NA,"",""
"16068","Dream C Club","PS3","2012","Simulation","D3Publisher",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16069","Assetto Corsa","XOne","2016","Racing","505 Games",0,0.01,0,0,0.02,63,9,66,27,"Kunos Simulazioni","E"
"16071","Memories Off 6: Next Relation","PS2","2009","Adventure","5pb",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16072","Meiji Toukyou Renka: Twilight Kiss","PSP","2015","Action","Broccoli",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16073","Scared Rider Xechs","PS2","2010","Adventure","RED Entertainment",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16074","4 Play Collection - Dark Mysteries","PC","2014","Misc","Avanquest Software",0,0.01,0,0,0.02,NA,NA,1,NA,"",""
"16075","Vitamin X: Detective B6","PSP","2012","Adventure","D3Publisher",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16076","Misshitsu no Sacrifice","PSP","2010","Adventure","D3Publisher",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16079","King's Quest: The Complete Collection","PS4","2016","Adventure","Activision",0.01,0,0,0,0.02,NA,NA,97,NA,"The Odd Gentlemen","E10+"
"16086","Sora no Otoshimono: DokiDoki Summer Vacation","PSP","2010","Adventure","Kadokawa Shoten",0,0,0.01,0,0.01,NA,NA,1,NA,"",""
